
Begin Step 0, Time: 0.0909091, Systemstep: 0
Begin Step 400, Time: 2.52788, Systemstep: 0.00609242

Begin Step 401, Time: 2.53397, Systemstep: 0.00609242

Begin Step 402, Time: 2.54006, Systemstep: 0.00609242

Begin Step 403, Time: 2.54615, Systemstep: 0.00609242

Begin Step 404, Time: 2.55225, Systemstep: 0.00609242

Begin Step 405, Time: 2.55834, Systemstep: 0.00609242

Begin Step 406, Time: 2.56443, Systemstep: 0.00609242

Begin Step 407, Time: 2.57052, Systemstep: 0.00609242

Begin Step 408, Time: 2.57662, Systemstep: 0.00609242

Begin Step 409, Time: 2.58271, Systemstep: 0.00609242

Begin Step 410, Time: 2.5888, Systemstep: 0.00609242

Begin Step 411, Time: 2.59489, Systemstep: 0.00609242

Begin Step 412, Time: 2.60099, Systemstep: 0.00609242

Begin Step 413, Time: 2.60708, Systemstep: 0.00609242

Begin Step 414, Time: 2.61317, Systemstep: 0.00609242

Begin Step 415, Time: 2.61926, Systemstep: 0.00609242

Begin Step 416, Time: 2.62536, Systemstep: 0.00609242

Begin Step 417, Time: 2.63145, Systemstep: 0.00609242

Begin Step 418, Time: 2.63754, Systemstep: 0.00609242

Begin Step 419, Time: 2.64363, Systemstep: 0.00609242

Begin Step 420, Time: 2.64972, Systemstep: 0.00609242

Begin Step 421, Time: 2.65582, Systemstep: 0.00609242

Begin Step 422, Time: 2.66191, Systemstep: 0.00609242

Begin Step 423, Time: 2.668, Systemstep: 0.00609242

Begin Step 424, Time: 2.67409, Systemstep: 0.00609242

Begin Step 425, Time: 2.68019, Systemstep: 0.00609242

Begin Step 426, Time: 2.68628, Systemstep: 0.00609242

Begin Step 427, Time: 2.69237, Systemstep: 0.00609242

Begin Step 428, Time: 2.69846, Systemstep: 0.00609242

Begin Step 429, Time: 2.70456, Systemstep: 0.00609242

Begin Step 430, Time: 2.71065, Systemstep: 0.00609242

Begin Step 431, Time: 2.71674, Systemstep: 0.00609242

Begin Step 432, Time: 2.72283, Systemstep: 0.00609242

Begin Step 433, Time: 2.72893, Systemstep: 0.00609242

Begin Step 434, Time: 2.73502, Systemstep: 0.00609242

Begin Step 435, Time: 2.74111, Systemstep: 0.00609242

Begin Step 436, Time: 2.7472, Systemstep: 0.00609242

Begin Step 437, Time: 2.7533, Systemstep: 0.00609242

Begin Step 438, Time: 2.75939, Systemstep: 0.00609242

Begin Step 439, Time: 2.76548, Systemstep: 0.00609242

Begin Step 440, Time: 2.77157, Systemstep: 0.00609242

Begin Step 441, Time: 2.77767, Systemstep: 0.00609242

Begin Step 442, Time: 2.78376, Systemstep: 0.00609242

Begin Step 443, Time: 2.78985, Systemstep: 0.00609242

Begin Step 444, Time: 2.79594, Systemstep: 0.00609242

Begin Step 445, Time: 2.80204, Systemstep: 0.00609242

Begin Step 446, Time: 2.80813, Systemstep: 0.00609242

Begin Step 447, Time: 2.81422, Systemstep: 0.00609242

Begin Step 448, Time: 2.82031, Systemstep: 0.00609242

